LOANID,DEFAULT,LATE,FICO,DTI,AGE,EMP_MONTHS,NUM_DEPENDENTS,OWNS_CAR,YEARS_EDUCATION,MARITAL
20214592616,Yes,No,681,0.266,61,23,0,Yes,13,Single
20213437117,Yes,No,686,0.292,50,59,1,Yes,12,Single
20218316859,No,No,742,0.105,23,50,0,Yes,11,Married
20218330003,No,Yes,686,0.331,41,33,1,No,11,Married
20211006679,No,No,676,0.364,31,71,0,Yes,12,Married
20216013104,Yes,Yes,594,0.448,30,89,3,No,14,Married
20210717269,Yes,Yes,588,0.366,62,0,2,Yes,14,Single
20215507764,No,Yes,624,0.331,38,91,0,Yes,11,Single
20219413719,No,No,826,0.223,35,90,3,Yes,13,Single
20213641633,No,No,734,0.372,33,135,1,Yes,14,Single
20215691671,No,No,835,0.342,53,61,0,Yes,15,Married
20213597181,Yes,Yes,583,0.33,46,0,0,Yes,16,Single
20215537619,Yes,Yes,551,0.493,32,4,0,Yes,16,Married
20212219705,No,No,743,0.333,53,65,0,Yes,18,Single
20219632431,No,Yes,620,0.234,38,73,0,No,12,Married
20219549280,No,No,694,0.376,46,19,2,Yes,11,Single
20210210908,No,No,658,0.333,43,20,2,No,10,Single
20219113206,No,Yes,565,0.321,38,108,0,Yes,16,Single
20215732835,Yes,Yes,496,0.36,33,0,0,Yes,13,Married
20219813750,No,Yes,692,0.29,38,97,1,Yes,12,Married
20218300087,No,Yes,706,0.387,34,0,3,Yes,13,Married
20218874363,No,No,763,0.238,50,25,0,Yes,14,Married
20219452479,No,No,697,0.247,21,36,1,Yes,15,Single
20215462482,No,No,758,0.487,54,26,4,No,19,Married
20215924674,No,Yes,728,0.272,31,131,1,Yes,12,Married
20214626050,No,No,672,0.386,21,36,0,No,12,Single
20214329092,No,Yes,608,0.427,54,59,2,No,11,Married
20219551008,No,No,788,0.343,50,132,0,No,15,Single
20215367944,No,No,688,0.404,57,65,1,Yes,13,Married
20218723030,Yes,Yes,627,0.317,53,43,0,No,11,Married
20218071189,No,No,654,0.402,57,45,0,No,13,Single
20212622933,Yes,Yes,584,0.421,31,43,0,Yes,17,Single
20218708107,No,No,681,0.39,48,38,3,Yes,15,Married
20215545122,No,No,679,0.337,35,54,0,Yes,13,Single
20210573934,No,No,674,0.233,32,115,3,Yes,11,Single
20216722679,No,No,742,0.266,34,103,4,Yes,12,Married
20216304836,No,Yes,499,0.23,34,0,3,Yes,14,Married
20214597812,Yes,Yes,575,0.307,30,68,2,Yes,12,Married
20219675689,No,Yes,637,0.323,21,36,1,Yes,15,Married
20216184547,Yes,Yes,611,0.391,37,46,0,Yes,14,Married
20211853539,No,No,688,0.327,50,117,3,Yes,18,Single
20213560224,Yes,No,720,0.318,45,53,0,Yes,14,Single
20210206916,Yes,Yes,655,0.336,21,0,0,Yes,14,Single
20213146169,Yes,No,672,0.509,26,45,0,Yes,13,Married
20219621150,No,No,605,0.381,43,29,0,Yes,17,Single
20219990443,No,No,716,0.381,44,32,0,No,14,Married
20217193963,No,No,741,0.209,43,251,4,Yes,13,Married
20210822501,No,No,738,0.347,51,85,2,Yes,13,Married
20218429921,No,Yes,646,0.365,47,58,1,No,15,Single
